,x,y,z,prefs
0,30,114,75,-0.9993521047639403
1,30,114,78,-0.93083607514053
2,30,114,81,-1.0383288707419513
3,30,114,84,-1.0813544085080666
4,30,117,72,-1.0736920515166435
5,30,117,75,-1.143393368149214
6,30,117,78,-1.0108549789363304
7,30,117,81,-0.9327537416493615
8,30,117,84,-1.0151275613891741
9,30,120,69,-1.3828846643740786
10,30,120,72,-0.9709041267792762
11,30,120,75,-1.1241153320130126
12,30,120,78,-1.0091998668254616
13,30,120,81,-0.9237300929108849
14,30,120,84,-0.9556950873175727
15,30,120,87,-0.8384852705104306
16,30,123,69,-1.2054713111056665
17,30,123,72,-0.8324976927234522
18,30,123,75,-0.8201248713406475
19,30,123,78,-1.0112292218939514
20,30,123,81,-0.8927535318892552
21,30,123,84,-0.9464571645877858
22,30,123,87,-0.8938819918767582
23,30,126,72,-0.9624670348444236
24,30,126,75,-1.0286118584022756
25,30,126,78,-1.0588101320495236
26,30,126,81,-0.9168309447654264
27,30,126,84,-0.9674544668271658
28,30,126,87,-0.9200583176377224
29,30,129,72,-0.9196755060270378
30,30,129,75,-0.8897794093547988
31,30,129,78,-0.9538588008938735
32,30,129,81,-0.9651651713685563
33,30,129,84,-0.9983905509420683
34,30,129,87,-0.940700327635124
35,30,132,72,-0.6585410198541145
36,30,132,75,-0.44223421244844935
37,30,132,78,-0.8264801449282437
38,30,132,81,-0.9041790449972793
39,30,132,84,-0.972994740026629
40,30,135,75,-0.6738393593678732
41,30,135,78,-0.7194556744890616
42,30,135,81,-0.855356008225912
43,30,138,78,-0.7093891586486967
44,27,114,81,-0.899887312591682
45,27,114,84,-0.9726628427341499
46,27,117,78,-0.8010334683506621
47,27,117,81,-0.7694814883531312
48,27,117,84,-0.8051898182594642
49,27,117,87,-0.713076242859677
50,27,120,75,-1.1130675684552034
51,27,120,78,-0.9351178053868904
52,27,120,81,-0.7953320209138476
53,27,120,84,-0.8130355502132308
54,27,120,87,-0.7330168535644095
55,27,120,90,-0.7506048544710306
56,27,123,72,-0.7842586871895293
57,27,123,75,-0.9290552233748904
58,27,123,78,-0.9303176789325767
59,27,123,81,-0.8295802784011467
60,27,123,84,-0.8003202375967913
61,27,123,87,-0.7373256850548662
62,27,123,90,-0.6712846661354626
63,27,126,72,-0.7881392225452535
64,27,126,75,-1.0077073597160717
65,27,126,78,-0.9345949575939645
66,27,126,81,-0.7727641480064573
67,27,126,84,-0.7730474821536637
68,27,126,87,-0.7104634656281931
69,27,126,90,-0.6626836714377041
70,27,129,72,-0.699061539284283
71,27,129,75,-0.8220091750047867
72,27,129,78,-0.7360495534302796
73,27,129,81,-0.7261960628761706
74,27,129,84,-0.7070061609363002
75,27,129,87,-0.7504221992791784
76,27,129,90,-0.7108692303616365
77,27,132,72,-0.4831574891068667
78,27,132,75,-0.31551191969835085
79,27,132,78,-0.5683632668885497
80,27,132,81,-0.8473322408954411
81,27,132,84,-0.7201681374405984
82,27,132,87,-0.8471089094498373
