,sub,mask,lag,distance,run,data
0,sub-MSC01,nacc,-144.5188298552863,0,0,scrubbed
0,sub-MSC01,dil1,-127.51615154603219,1,0,scrubbed
0,sub-MSC01,dil2,-457.93639296225206,2,0,scrubbed
0,sub-MSC01,dil3,-581.7841460671215,3,0,scrubbed
0,sub-MSC01,nacc,100.6137103021717,0,1,scrubbed
0,sub-MSC01,dil1,237.27021202242526,1,1,scrubbed
0,sub-MSC01,dil2,-711.5426072624568,2,1,scrubbed
0,sub-MSC01,dil3,-1313.7995321770154,3,1,scrubbed
0,sub-MSC01,nacc,84.56941666145612,0,2,scrubbed
0,sub-MSC01,dil1,214.05134056708846,1,2,scrubbed
0,sub-MSC01,dil2,-95.92287895584514,2,2,scrubbed
0,sub-MSC01,dil3,-486.32731781816074,3,2,scrubbed
0,sub-MSC01,nacc,136.66259152455484,0,3,scrubbed
0,sub-MSC01,dil1,20.098906896830886,1,3,scrubbed
0,sub-MSC01,dil2,-574.6115740422554,2,3,scrubbed
0,sub-MSC01,dil3,-944.1301037834868,3,3,scrubbed
0,sub-MSC01,nacc,397.2799924008216,0,4,scrubbed
0,sub-MSC01,dil1,144.89949027112402,1,4,scrubbed
0,sub-MSC01,dil2,-246.89017814208313,2,4,scrubbed
0,sub-MSC01,dil3,-533.8490292383715,3,4,scrubbed
0,sub-MSC01,nacc,1464.062915949806,0,5,scrubbed
0,sub-MSC01,dil1,1084.8668795929193,1,5,scrubbed
0,sub-MSC01,dil2,-173.73695163039693,2,5,scrubbed
0,sub-MSC01,dil3,-808.741813813615,3,5,scrubbed
0,sub-MSC01,nacc,1062.6128488261195,0,6,scrubbed
0,sub-MSC01,dil1,385.2678169952273,1,6,scrubbed
0,sub-MSC01,dil2,-325.861013051466,2,6,scrubbed
0,sub-MSC01,dil3,-549.1609253508793,3,6,scrubbed
0,sub-MSC01,nacc,698.1998491548616,0,7,scrubbed
0,sub-MSC01,dil1,397.2467137653014,1,7,scrubbed
0,sub-MSC01,dil2,-426.82940333908925,2,7,scrubbed
0,sub-MSC01,dil3,-768.1479529451672,3,7,scrubbed
0,sub-MSC01,nacc,555.7294080007789,0,8,scrubbed
0,sub-MSC01,dil1,-159.00640169959635,1,8,scrubbed
0,sub-MSC01,dil2,-1053.489706324207,2,8,scrubbed
0,sub-MSC01,dil3,-1489.51977530036,3,8,scrubbed
0,sub-MSC01,nacc,1606.9044931087983,0,9,scrubbed
0,sub-MSC01,dil1,567.5703223963505,1,9,scrubbed
0,sub-MSC01,dil2,-837.226984302231,2,9,scrubbed
0,sub-MSC01,dil3,-1781.6588889549673,3,9,scrubbed
0,sub-MSC02,nacc,-912.9554828989711,0,0,scrubbed
0,sub-MSC02,dil1,-233.39253039253478,1,0,scrubbed
0,sub-MSC02,dil2,-392.8836595331714,2,0,scrubbed
0,sub-MSC02,dil3,-493.63517883353603,3,0,scrubbed
0,sub-MSC02,nacc,-166.08870360839356,0,1,scrubbed
0,sub-MSC02,dil1,-141.39350860498044,1,1,scrubbed
0,sub-MSC02,dil2,-521.242728292027,2,1,scrubbed
0,sub-MSC02,dil3,-598.9550744928459,3,1,scrubbed
0,sub-MSC02,nacc,1029.2507263549744,0,2,scrubbed
0,sub-MSC02,dil1,940.0483089440477,1,2,scrubbed
0,sub-MSC02,dil2,-41.27359122365992,2,2,scrubbed
0,sub-MSC02,dil3,-167.41262804481894,3,2,scrubbed
0,sub-MSC02,nacc,210.50982690680286,0,3,scrubbed
0,sub-MSC02,dil1,-247.01706081174288,1,3,scrubbed
0,sub-MSC02,dil2,-537.0891363543802,2,3,scrubbed
0,sub-MSC02,dil3,-678.8226416559736,3,3,scrubbed
0,sub-MSC02,nacc,-729.8524977351404,0,4,scrubbed
0,sub-MSC02,dil1,-513.9100190815165,1,4,scrubbed
0,sub-MSC02,dil2,-936.9569156862075,2,4,scrubbed
0,sub-MSC02,dil3,-987.6371236994521,3,4,scrubbed
0,sub-MSC02,nacc,198.07573532040658,0,5,scrubbed
0,sub-MSC02,dil1,68.9278401959993,1,5,scrubbed
0,sub-MSC02,dil2,-335.6080169109536,2,5,scrubbed
0,sub-MSC02,dil3,-571.1537492618099,3,5,scrubbed
0,sub-MSC02,nacc,2303.2346529133765,0,6,scrubbed
0,sub-MSC02,dil1,2282.5217647379095,1,6,scrubbed
0,sub-MSC02,dil2,2511.4239712752387,2,6,scrubbed
0,sub-MSC02,dil3,1631.489329310936,3,6,scrubbed
0,sub-MSC02,nacc,637.5105074682756,0,7,scrubbed
0,sub-MSC02,dil1,64.66439233305815,1,7,scrubbed
0,sub-MSC02,dil2,-437.606807847883,2,7,scrubbed
0,sub-MSC02,dil3,-886.8967544382738,3,7,scrubbed
0,sub-MSC02,nacc,564.4361217717774,0,8,scrubbed
0,sub-MSC02,dil1,139.70579007286324,1,8,scrubbed
0,sub-MSC02,dil2,-323.0513832903723,2,8,scrubbed
0,sub-MSC02,dil3,-796.0480707342416,3,8,scrubbed
0,sub-MSC02,nacc,1022.7698849815318,0,9,scrubbed
0,sub-MSC02,dil1,692.0311274269044,1,9,scrubbed
0,sub-MSC02,dil2,276.2549785149205,2,9,scrubbed
0,sub-MSC02,dil3,-33.49483902555592,3,9,scrubbed
0,sub-MSC03,nacc,899.3513171098509,0,0,scrubbed
0,sub-MSC03,dil1,798.0595752703177,1,0,scrubbed
0,sub-MSC03,dil2,361.7912401189834,2,0,scrubbed
0,sub-MSC03,dil3,10.965085823655436,3,0,scrubbed
0,sub-MSC03,nacc,534.9641522318138,0,1,scrubbed
0,sub-MSC03,dil1,236.4191452590628,1,1,scrubbed
0,sub-MSC03,dil2,-276.026113617621,2,1,scrubbed
0,sub-MSC03,dil3,-694.7931195053103,3,1,scrubbed
0,sub-MSC03,nacc,-54.10078308892449,0,2,scrubbed
0,sub-MSC03,dil1,-510.16911575544356,1,2,scrubbed
0,sub-MSC03,dil2,-898.9764361955037,2,2,scrubbed
0,sub-MSC03,dil3,-1059.1815855895761,3,2,scrubbed
0,sub-MSC03,nacc,-114.5307375442558,0,3,scrubbed
0,sub-MSC03,dil1,-175.38432040249938,1,3,scrubbed
0,sub-MSC03,dil2,-564.4015371414386,2,3,scrubbed
0,sub-MSC03,dil3,-840.2159990139554,3,3,scrubbed
0,sub-MSC03,nacc,-328.7905531714986,0,4,scrubbed
0,sub-MSC03,dil1,-407.570857232305,1,4,scrubbed
0,sub-MSC03,dil2,-684.0375046811517,2,4,scrubbed
0,sub-MSC03,dil3,-818.1196316117175,3,4,scrubbed
0,sub-MSC03,nacc,-55.54152327777766,0,5,scrubbed
0,sub-MSC03,dil1,-103.8179429317169,1,5,scrubbed
0,sub-MSC03,dil2,-305.5042248620976,2,5,scrubbed
0,sub-MSC03,dil3,-327.460862923031,3,5,scrubbed
0,sub-MSC03,nacc,1478.4529270112837,0,6,scrubbed
0,sub-MSC03,dil1,1027.058152473927,1,6,scrubbed
0,sub-MSC03,dil2,12.656158596105222,2,6,scrubbed
0,sub-MSC03,dil3,-296.22289099995123,3,6,scrubbed
0,sub-MSC03,nacc,-202.18925532292243,0,7,scrubbed
0,sub-MSC03,dil1,-104.90018787193986,1,7,scrubbed
0,sub-MSC03,dil2,-255.22414639483364,2,7,scrubbed
0,sub-MSC03,dil3,-161.5852637041333,3,7,scrubbed
0,sub-MSC03,nacc,48.10326480312088,0,8,scrubbed
0,sub-MSC03,dil1,166.16572583951336,1,8,scrubbed
0,sub-MSC03,dil2,-16.55673626346944,2,8,scrubbed
0,sub-MSC03,dil3,-111.27117707628199,3,8,scrubbed
